Settlement Number,Booth Number,Address Name,Settlement Name
3000,510.0,"חיל האויר,60",ירושלים
3000,511.0,"חיל האויר,60",ירושלים
3000,512.0,"גרינולד,8",ירושלים
3000,513.0,"זנגויל,29",ירושלים
3000,514.0,"שד שרת משה,1",ירושלים
3000,515.0,בית צפפה,ירושלים
3000,516.0,בית צפפה,ירושלים
3000,517.0,בית צפפה,ירושלים
3000,518.0,בית צפפה,ירושלים
3000,519.0,בית צפפה,ירושלים
3000,520.0,בית צפפה,ירושלים
3000,521.0,איחוד הכפר,ירושלים
3000,522.0,"הרב אונטרמן,5",ירושלים
3000,523.0,"ורדינון,1",ירושלים
3000,524.0,"ורדינון,12",ירושלים
3000,525.0,"ורדינון,12",ירושלים
3000,526.0,"הגננת,29",ירושלים
3000,527.0,"ורדינון,1",ירושלים
3000,528.0,"הגננת,29",ירושלים
3000,529.0,"הגננת,29",ירושלים
3000,530.0,"הגננת,29",ירושלים
3000,531.0,"מרגלית,411",ירושלים
3000,532.0,"הדולב,423",ירושלים
3000,533.0,"ורדינון,1",ירושלים
3000,534.0,"ורדינון,12",ירושלים
3000,535.0,"מרגלית,411",ירושלים
3000,536.0,צביה ויצחק,ירושלים
3000,537.0,"הדולב,423",ירושלים
3000,538.0,"שוהם,526",ירושלים
3000,539.0,"שוהם,526",ירושלים
3000,540.0,"הדולב,423",ירושלים
3000,541.0,"הדולב,423",ירושלים
3000,542.0,"מרגלית,411",ירושלים
3000,543.0,"הדולב,423",ירושלים
3000,544.0,צביה ויצחק,ירושלים
3000,545.0,"הגננת,29",ירושלים
3000,546.0,"הגננת,29",ירושלים
3000,547.0,"ורדינון,1",ירושלים
3000,548.0,"מבוא נטף,4",ירושלים
3000,549.0,"מבוא נטף,4",ירושלים
3000,550.0,"מבוא נטף,4",ירושלים
3000,551.0,"מבוא נטף,4",ירושלים
3000,552.0,"הדולב,423",ירושלים
3000,553.0,"תירוש,9",ירושלים
3000,554.0,"תירוש,9",ירושלים
3000,555.0,"תירוש,9",ירושלים
3000,556.0,"תירוש,9",ירושלים
3000,557.0,"תירוש,9",ירושלים
3000,558.0,"תירוש,9",ירושלים
3000,559.0,"רזיאל דוד,13",ירושלים
3000,560.0,"קדושי בבל,22",ירושלים
3000,561.0,"אסתר המלכה,3",ירושלים
3000,562.0,"דרך חברון,56",ירושלים
3000,563.0,"דרך בית לחם,113",ירושלים
3000,564.0,"דרך בית לחם,113",ירושלים
3000,565.0,"דרך בית לחם,113",ירושלים
3000,566.0,"דרך בית לחם,113",ירושלים
3000,567.0,"דרך בית לחם,113",ירושלים
3000,568.0,"בית""ר,8",ירושלים
3000,569.0,"בית""ר,8",ירושלים
3000,570.0,"בית""ר,8",ירושלים
3000,571.0,"דרך בית לחם,117",ירושלים
3000,572.0,"דרך בית לחם,117",ירושלים
3000,573.0,"דרך בית לחם,117",ירושלים
3000,574.0,"דרך בית לחם,117",ירושלים
3000,575.0,"דרך בית לחם,117",ירושלים
3000,576.0,"דרך בית לחם,117",ירושלים
3000,577.0,"קדושי בבל,22",ירושלים
3000,578.0,"קדושי בבל,1",ירושלים
3000,579.0,"קדושי בבל,1",ירושלים
3000,580.0,"רזיאל דוד,29",ירושלים
3000,581.0,"רזיאל דוד,13",ירושלים
3000,582.0,"אדם,28",ירושלים
3000,583.0,"גרונר דב,17",ירושלים
3000,584.0,"קדושי בבל,22",ירושלים
3000,585.0,"קדושי בבל,22",ירושלים
3000,586.0,"קדושי בבל,22",ירושלים
