L,R,C,A,O,S,M,Total,Highest,Lat,Long
140,346,16,3,77,3,3,588,R,31.860299524000027,34.886044611000045
126,87,6,4,70,2,4,299,L,31.872710752000046,34.90754148800005
217,215,30,0,62,2,3,529,L,31.872710752000046,34.95053524300005
9,50,5,2,489,6,2,563,O,31.872710752000046,34.993528998000045
8,137,7,0,130,1,2,285,R,31.872710752000046,35.12251026300004
0,0,0,0,0,0,0,0,L,31.860299524000027,35.14400714000004
368,1255,125,1,386,86,29,2250,R,31.872710752000046,35.165504018000036
0,0,0,0,0,0,0,0,L,31.860299524000027,35.18700089500004
0,0,0,0,0,0,0,0,L,31.860299524000027,35.22999465000004
41,136,2,0,29,0,1,209,R,31.860299524000027,35.272988405000035
0,0,0,0,0,0,0,0,L,31.897533208000027,34.69257271300006
671,733,82,4,549,125,86,2250,R,31.885121980000065,34.75706334600005
728,1285,94,2,761,451,75,3396,R,31.897533208000027,34.778560223000056
5601,4545,678,82,2135,1228,282,14551,L,31.885121980000065,34.80005710100005
7656,4903,796,36,4839,1626,412,20268,L,31.897533208000027,34.821553978000054
215,61,13,0,10,0,3,302,L,31.885121980000065,34.84305085600005
144,194,13,0,64,0,0,415,R,31.897533208000027,34.86454773300005
186,503,27,1,275,113,8,1113,R,31.897533208000027,34.90754148800005
119,63,10,0,16,0,0,208,L,31.885121980000065,34.92903836500005
0,0,0,0,0,0,0,0,L,31.897533208000027,34.993528998000045
1797,626,175,0,174,3,15,2790,L,31.885121980000065,35.01502587500005
959,285,110,0,36,3,4,1397,L,31.897533208000027,35.03652275300004
0,131,0,0,148,1,5,285,O,31.885121980000065,35.22999465000004
0,49,2,0,175,4,3,233,O,31.885121980000065,35.31598216000003
0,0,0,0,0,0,0,0,L,31.897533208000027,35.46646030200003
206,29,10,0,10,9,2,266,L,31.922355664000065,34.778560223000056
1030,474,93,6,1124,80,123,2930,O,31.909944436000046,34.80005710100005
1103,479,114,5,221,35,22,1979,L,31.922355664000065,34.821553978000054
73,117,11,0,58,0,0,259,R,31.909944436000046,34.84305085600005
2884,7260,201,1868,4939,262,338,17752,R,31.922355664000065,34.86454773300005
0,0,0,0,0,0,0,0,L,31.909944436000046,34.886044611000045
69,224,0,0,122,1,9,425,R,31.922355664000065,34.90754148800005
4,42,4,1,162,0,0,213,O,31.922355664000065,34.95053524300005
0,0,0,0,0,0,0,0,L,31.909944436000046,34.97203212000005
4,29,1,0,40,3,4,81,O,31.922355664000065,34.993528998000045
114,28,21,0,1,4,4,172,L,31.909944436000046,35.01502587500005
37,28,14,0,822,0,130,1031,O,31.922355664000065,35.03652275300004
0,53,0,0,141,0,2,196,O,31.922355664000065,35.12251026300004
269,14,7,0,5,1,4,300,L,31.934766892000027,34.714069591000055
85,24,7,0,10,0,3,129,L,31.934766892000027,34.75706334600005
369,69,23,1,11,0,4,477,L,31.947178120000046,34.778560223000056
4538,4317,711,97,2468,514,190,12835,L,31.934766892000027,34.80005710100005
1884,2923,302,8,1764,143,134,7158,R,31.947178120000046,34.821553978000054
1565,2538,157,237,2014,257,171,6939,R,31.934766892000027,34.84305085600005
1740,2350,142,153,1384,635,127,6531,R,31.947178120000046,34.86454773300005
2440,4151,203,357,2560,1040,292,11043,R,31.934766892000027,34.886044611000045
1285,2641,100,1426,1178,892,401,7923,R,31.947178120000046,34.90754148800005
101,22,9,1,11,48,7,199,L,31.934766892000027,34.92903836500005
6,122,4,0,562,0,7,701,O,31.934766892000027,35.01502587500005
0,0,0,0,0,0,0,0,L,31.947178120000046,35.03652275300004
0,0,0,0,0,0,0,0,L,31.934766892000027,35.05801963000005
0,0,0,0,0,0,0,0,L,31.947178120000046,35.12251026300004
0,39,0,0,222,0,1,262,O,31.934766892000027,35.14400714000004
6,338,5,0,1105,12,9,1475,O,31.934766892000027,35.22999465000004
6,131,5,0,475,14,0,631,O,31.947178120000046,35.25149152700004
0,0,0,0,0,0,0,0,L,31.947178120000046,35.42346654700003
4886,3392,560,11,960,132,96,10037,L,31.972000576000028,34.778560223000056
18524,12777,1762,60,5228,3221,1189,42761,L,31.959589348000065,34.80005710100005
5380,5231,599,20,2083,1651,529,15493,L,31.972000576000028,34.821553978000054
8,91,2,0,436,0,3,540,O,31.972000576000028,34.86454773300005
1714,3005,143,1026,1873,682,741,9184,R,31.959589348000065,34.886044611000045
168,50,18,0,11,0,2,249,L,31.972000576000028,34.90754148800005
304,212,34,2,148,4,5,709,L,31.959589348000065,34.92903836500005
96,109,11,1,38,0,3,258,R,31.972000576000028,34.95053524300005
4,46,2,0,8,6,0,66,R,31.959589348000065,35.05801963000005
0,0,0,0,0,0,0,0,L,31.959589348000065,35.272988405000035
0,76,3,0,205,6,0,290,O,31.959589348000065,35.35897591500003
0,0,0,0,0,0,0,0,L,31.959589348000065,35.444963425000026
1258,1641,170,5,557,208,64,3903,R,31.996823032000066,34.73556646800006
730,523,67,3,127,9,22,1481,L,31.984411804000047,34.75706334600005
4247,3545,401,7,1216,167,128,9711,L,31.996823032000066,34.778560223000056
4108,4607,404,23,2322,1038,355,12857,R,31.984411804000047,34.80005710100005
